Año_Mes;Alimentos Y Bebidas No Alcohólicas;Bebidas Alcohólicas, Tabaco Y Narcóticos;Ropa Y Calzado;Vivienda, Agua, Electricidad, Gas Y Otros Combustibles;Mobiliario, Enseres Domésticos Y Demás Artículos Regulares De Los Hogares;Salud;Transporte;Información Y Comunicación;Recreación, Deporte Y Cultura;Servicios De Educación;Restaurantes Y Servicios De Alojamiento;Seguros Y Servicios Financieros;Cuidado Personal, Protección Social Y Bienes Diversos;IPC
oct.-16;60.5753;58.4638;77.4445;65.9689;62.0458;59.2042;62.3679;70.7938;59.5776;61.0515;60.788;59.7073;64.2148;62.42
nov.-16;60.1021;58.5196;78.0945;66.1928;62.241;59.4529;62.9013;70.9712;59.6921;61.1003;61.03;59.9798;64.4992;62.47
dic.-16;59.8864;58.5634;78.0522;62.557;62.3338;59.6744;63.4334;71.0538;60.3055;61.1673;61.7551;60.353;65.0327;62.13
ene.-17;59.855;63.9845;77.3931;69.5899;62.378;60.5381;64.8003;73.6101;61.3518;61.6286;62.6028;61.249;65.5987;63.75
feb.-17;59.585;64.2593;77.3704;69.9153;63.5437;61.2782;65.0065;73.8112;61.6103;65.029;63.0587;61.2668;66.3462;64.07
mar.-17;60.2156;64.3769;77.618;70.1998;63.8333;61.6264;65.8431;74.2145;61.3967;65.6139;63.2999;61.4667;67.1691;64.5
abr.-17;60.2378;64.4733;78.2864;70.3369;63.9345;61.9414;65.9928;74.2443;61.2576;65.6653;63.6038;61.7917;67.4594;64.64
may.-17;60.0439;64.5246;78.9413;70.5797;64.0458;62.3654;66.0861;74.1919;61.1646;65.7215;63.9462;61.9523;67.7068;64.73
jun.-17;59.9896;64.5723;78.8461;70.7557;64.1129;62.7071;66.1663;74.277;61.522;65.7465;64.0483;62.3973;67.8695;64.82
jul.-17;60.2513;64.7842;78.1963;70.8929;64.199;63.229;66.0697;74.7375;61.9898;66.1994;64.5682;62.3265;68.3407;65.03
ago.-17;61.0384;64.8985;78.2078;71.102;65.3465;64.1098;66.15;74.9718;62.1381;67.4387;64.846;62.9027;68.6193;65.53
sep.-17;61.8151;65.0439;78.3825;71.3327;65.5218;64.3303;66.327;74.9247;62.3812;67.6577;65.0218;63.1471;68.7251;65.89
oct.-17;62.1649;65.1193;79.6438;71.5065;65.6659;64.6612;66.7122;74.9202;62.7955;67.7183;65.2223;63.3794;69.1473;66.19
nov.-17;62.4536;65.1613;80.1316;71.7192;65.7626;64.8956;66.866;75.1979;62.7096;67.7572;65.5748;63.5901;69.4058;66.41
dic.-17;62.9228;65.2495;80.118;67.8692;65.8478;65.2377;67.0414;75.5273;63.2238;67.7686;66.3903;63.8425;69.9845;66.21
ene.-18;63.9159;70.2151;79.6337;73.2823;65.8767;66.0614;68.5497;77.5939;66.0859;68.3076;67.4017;65.1764;70.3524;68
feb.-18;64.3404;70.9039;79.6372;74.0319;67.1528;66.7307;68.8672;78.1201;66.3364;71.3357;67.9696;65.1639;70.9422;68.6
mar.-18;64.402;71.1633;79.8398;74.1459;67.3904;67.1342;69.0223;78.2459;66.5851;71.7523;68.4907;65.3375;71.1151;68.79
abr.-18;64.1864;71.2367;80.7468;74.2297;67.6265;67.4424;69.1386;78.0889;66.2848;71.8006;68.7133;65.5262;71.3218;68.84
may.-18;64.9023;71.4064;81.3363;74.5509;68.2449;67.6324;70.1213;78.7235;67.1165;71.8179;69.2958;66.022;71.4064;69.39
jun.-18;66.3642;71.4342;81.3286;74.8736;68.7235;67.8287;71.0763;78.946;67.8195;71.8951;69.6929;66.2372;71.6986;70.08
jul.-18;66.8689;71.7969;80.8651;75.1194;69.084;68.2284;72.0707;79.2192;68.0748;72.2982;70.1547;66.3165;72.396;70.5
ago.-18;67.5762;71.9419;80.6861;75.2684;70.3376;68.527;71.9656;79.3644;68.4833;73.8619;70.8342;66.6566;72.7042;70.97
sep.-18;67.5704;72.0707;80.723;75.6754;71.0108;68.7833;73.0469;80.1305;69.1536;73.9077;71.1168;67.2119;73.2712;71.32
oct.-18;67.35;72.2108;82.2608;75.9485;71.1966;69.1444;73.1832;79.9934;69.4109;73.9798;71.5055;67.7615;73.555;71.49
nov.-18;66.8087;72.3635;82.4088;76.0181;71.1158;70.1708;73.2562;80.1828;69.6079;74.0114;71.7131;72.1083;74.1938;71.75
